Zona,Nome,Domicílios,Famílias,População,Matrículas Escolares,Empregos,Automóveis Particulares,Viagens Produzidas,Viagens Atraidas,Área (ha)
1,Sé,1150.9999999999993,1150.9999999999993,3262.0009494874607,6363.217715389084,71852.31353181132,325.53291587550825,160502.92521566618,160157.4863494384,57.1
2,Parque Dom Pedro,2341.9999999999995,2341.9999999999995,5695.000762383937,1433.3185156196905,51853.737311350895,890.6975723572765,137231.73543004034,138306.41067382233,113.64
3,Praça João Mendes,7100.000000000002,7100.000000000002,17130.00098039034,2398.5314027814866,18547.346833502732,1166.0063092034934,62970.99098170217,62502.83703684561,47.75
4,Ladeira da Memória,12588.000000000004,12588.000000000004,24088.998880053732,1126.7436910549106,22553.940603619165,3400.885136935576,78183.96894394392,78285.56227473503,75.11
5,República,8049.9999999999945,8049.9999999999945,14955.999880214296,1726.8524736599243,89486.65549471039,1737.2514752504978,186219.61619820734,187152.7435147855,74.95
6,Santa Ifigênia,9410.999999999998,9410.999999999998,21989.00059147639,2039.1094514794825,38371.92227216261,1445.1130897998264,109791.17294692795,109350.5176533555,82.93
7,Luz,6341.999999999997,6341.999999999997,18209.995750444454,6873.4733078227655,35047.910960032146,2400.90882061722,93161.01507923221,93680.53651050992,154.6
8,Bom Retiro,3834,4110.698863636364,12251.99773752632,3280.2709721931087,15080.15718945083,1747.866791484874,40222.70576295953,40169.99649937426,143.01
9,Ponte Pequena,2266.9999999999986,2266.9999999999986,7456.00014202449,6413.184730618952,16492.381602722016,486.55173706490314,36268.81162784799,36521.87674854952,129.78
10,Canindé,466.99999999999966,466.99999999999966,1619.0002170451885,7047.86518514606,6712.764847309401,134.03085184750674,23889.95931835155,24030.45511723238,82.61
11,Bom Jardim,932.0000000000002,932.0000000000002,2712.999994937437,1471.3935617402644,3901.410578596861,488.4855444288413,11403.040671952214,11380.795570512317,49.85
12,Pari,4740.999999999997,4740.999999999997,14380.999094659966,1928.3395045251634,21067.959372324636,2084.8062021296373,46135.833339988145,44923.8245121851,140.16
13,João Teodoro,422.9999999999996,422.9999999999996,1435.000044428571,265.72783303987296,9281.378684772251,102.78916783371858,25130.768333272288,24561.557249880327,39.32
14,Oriente,1103.9999999999998,1103.9999999999998,3337.0009864856365,1959.23495407147,27938.663789590002,329.0788326696043,66495.62971835246,66780.26558617088,69.88
15,Bresser,3147.999999999999,3247.199999999999,8427.002106090249,162.27759497393947,14171.345249603895,896.9426265629598,36166.775301739806,36241.32316915031,76.98
16,Brás,4588.999999999998,4588.999999999998,12116.998047578245,3420.1808372342657,18484.307861368434,2245.8134932039957,48646.569966726966,48197.18268553806,109.08
17,Gasômetro,2410.9999999999977,2430.0684931506826,6980.000320568813,5503.786561600209,9360.816206657582,596.7028380356475,31624.58760933217,31507.23451079156,69.35
18,Independência,6592.000000000005,6592.000000000005,19240.0040157053,3762.0388930393856,24089.52419759945,3672.2480467540945,74507.02074559285,73237.65524319759,253.75
19,Cambuci,7489.999999999997,7489.999999999997,20732.000136909857,4590.207077597447,16447.865147865654,5234.657844651965,57680.33915294763,57902.827029774664,140.43
20,Glicério,9041.999999999989,9041.999999999989,23063.00480262587,3613.5105319772424,8158.924078981348,6862.36186096597,47082.80823037304,46029.6808153663,108.02
21,Aclimação,7403.9999999999945,7403.9999999999945,18690.99852000165,3860.2571525482354,9685.045909260825,5516.603380406325,44430.90833198676,44317.66707874246,113.62
22,Pires da Mota,5995.999999999995,5995.999999999995,13623.001430545324,4512.959828715835,8424.706077204735,3262.6538362983365,37043.16796863889,37238.86695390178,50.03
23,Centro Cultural,2553.000000000001,2553.000000000001,5331.99973540928,33075.50215161829,17914.649866048523,1278.671486065945,74016.10919403392,73687.63712636412,33.24
24,Liberdade,5364,5364,11423.003905438296,53167.87706391667,17996.0499665112,1658.9409755298127,89697.85484793592,89533.85004726038,59.49
25,Treze de Maio,7996.000000000005,7996.000000000005,18401.001992743695,4010.219737943772,12141.892768926235,2582.2160582339047,40630.192399124695,40829.29745464784,42.85
26,Bexiga,6374.999999999993,6493.77777777777,14280.998610185496,8563.592477409027,13420.446270920127,2564.1997216553405,54507.55871665533,54680.5144826318,51.76
27,Bela Vista,7635.9999999999945,7635.9999999999945,17536.002295964,12922.33884931889,44855.22186683422,6619.564535741291,117797.3972598175,120314.56170110233,93.8
28,São Carlos do Pinhal,4410.999999999995,4410.999999999995,9068.002108708817,8922.064040180165,28432.50185141708,2737.5055402899343,76171.40059479355,76771.9316302784,31.03
29,Masp,7089.000000000018,7089.000000000018,13250.99860126561,4904.0371667538675,45410.777551617546,2916.115504179699,94937.83853297732,94788.10257373765,57.27
30,Higienópolis,9038.00000000002,9196.695652173934,19455.002787917765,3795.680151290799,18582.81664913395,7884.469377808837,63114.97237958855,62730.41594613193,67.81
31,Vila Buarque,11258.999999999996,11258.999999999996,20033.99486197098,37088.2997890219,27102.27124395895,5013.883455757115,119031.88562667594,119388.30728434729,89.58
32,Consolação,4589.999999999993,4589.999999999993,8555.99942142811,15091.119700766923,48236.822235074025,2586.566203246182,112133.39109415989,112551.62686642556,57.23
33,Pacaembu,586.9999999999997,586.9999999999997,1838.9995572777755,541.1680183315144,3126.4560908506855,865.2049522471866,6929.114685323867,6926.538731698667,90.45
34,FAAP,3191.0000000000086,3191.0000000000086,7555.997912544761,5442.674020365549,9964.865900859273,3655.326873829225,31857.154660851436,32882.91114979908,74.45
35,Santa Cecília,19105,19105,40031.99633529345,8462.314896347698,35793.44213773376,6480.669091418315,114334.89756116125,112257.45387131268,144.09
36,Marechal Deodoro,18909.000000000047,19000.59493670891,43094.01395977993,11004.096370398676,33133.339432968016,11358.697897130072,112647.96452415266,112541.73648926978,142.2
37,Rudge,1525.0000000000014,1525.0000000000014,4606.999914926391,2543.826128195675,19019.62328951899,1119.0183143855427,33774.45864048946,33550.84531735815,84.73
38,Catumbi,1074.0000000000005,1095.4800000000005,3785.999945914277,2262.9976260383196,5130.046688041475,747.1833322534277,12175.159267695908,12154.366190642133,81.44
39,Belém,3087.0000000000023,3087.0000000000023,9356.997325560114,3216.08261921129,8951.509292758063,2038.887265883187,27108.133546165347,25581.696296374288,160.71
40,Quarta Parada,2593.000000000002,2593.000000000002,7877.9992017569275,5999.400948892964,17654.48419231728,1380.8144935891573,42265.520497762336,42954.454999085,127.4
41,Belenzinho,7267.999999999996,7452.444444444441,22050.995574699242,7724.286506378645,24408.428347738496,4258.336143125069,81301.18056942768,80983.99740739478,180.11
42,Celso Garcia,1537,1537,5328.000946346412,384.773664785768,8744.567633493147,430.7319724836764,29354.749478367274,29251.652032853242,63.89
43,Mooca,10101.999999999996,10101.999999999996,27958.003975886208,37811.951541220566,23691.956953964458,8922.12590204116,109331.65440376377,110111.54064133407,271.79
44,Alto da Mooca,6583.000000000005,6583.000000000005,18349.998552057088,4063.738575532786,18042.39256171893,4607.441845567984,60317.151066520746,61150.68532359289,141.65
45,Parque da Mooca,11979.00000000001,11979.00000000001,33270.99908202997,5702.54986578813,33481.76331497531,12165.649795325015,98719.83751456231,97368.92575450744,381.42
46,Água Rasa,12266.999999999987,12882.677419354824,36269.995916913154,9681.77249255397,16581.912861666704,7618.619875301928,71849.86959616301,70872.7056393425,315.81
47,Vila Bertioga,8193.999999999998,8193.999999999998,23003.00545165133,2050.2736840929865,11976.569534620556,9051.895842742108,43442.2832863178,43354.70097399902,195.28
48,Regente Feijó,8523.999999999996,8523.999999999996,23924.0026197963,5797.65826524731,14867.23667845424,6105.386003384078,49161.13537264389,48901.546274085624,203.96
49,Ana Rosa,5875.999999999999,5875.999999999999,13385.99781599465,6181.500523860155,20009.15181793116,3929.476104063084,60199.37000708398,60826.87720282865,94.46
50,Jardim da Glória,3276.0000000000027,3276.0000000000027,8896.000932939416,1651.2676043778285,1845.1503545589858,3573.7103393248294,16801.993863071653,16888.767777315934,88.43
51,Chácara Klabin,6122.999999999995,6122.999999999995,16084.99598618604,2587.270208237292,7165.075912095706,4664.496183157899,29960.025013614082,29886.864421494676,97.57
52,Vila Mariana,4576.000000000001,4576.000000000001,10145.002567346995,7767.921590535452,14736.199379080601,4789.223606424874,41975.58599771021,40952.233179382245,59.61
53,Santa Cruz,5139.999999999996,5139.999999999996,13292.99972980643,9056.474302727871,23051.83555668479,5271.13334538324,65778.19362985733,66980.52284843932,108.52
54,Vila Clementino,3901.9999999999895,3901.9999999999895,8714.999977770221,4282.661740502998,29724.50152984551,2867.6673959741543,89898.16243083458,91571.20692985183,93.7
55,França Pinto,6384.000000000006,6384.000000000006,15517.99882478959,10614.812530526713,15677.571220787024,6203.471885294031,50465.5566954177,51186.38453415717,112.14
56,Rodrigues Alves,9697.000000000011,9895.633333333346,21616.997227398442,9888.344172322275,22142.70074780297,5906.607421539479,76852.8886974449,77327.07068637303,103.55
57,Paraíso,10462.000000000011,10462.000000000011,24334.003020127286,4744.960200353616,45145.37572375066,9244.959049191779,110614.69017007787,111325.90810929053,96.28
58,Bosque da Saúde,12094.000000000018,12094.000000000018,30779.003203408378,3320.338001498407,16427.782880175775,12205.050082171529,55639.292749238906,55561.98631766584,169.91
59,Saúde,20718.000000000022,20718.000000000022,52745.006970266884,15869.851849457438,31651.204981442017,13546.154744883768,164461.0848284256,164995.066650818,260.81
60,Planalto Paulista,8101.999999999999,8316.188166288928,22059.003402846392,4252.065745748338,15387.840494720309,8597.492755864816,69348.08386544921,68317.91355150264,321.66
61,Mirandópolis,12065.000000000011,12065.000000000011,28099.993287156034,13447.704122019293,18734.65940742273,10219.976930351148,76080.77724748837,76112.45726428261,173.45
62,Parque Ibirapuera,1993.000000000002,1993.000000000002,4564.998436564652,652.4851677430705,19994.557174271642,2086.183498737491,48736.60968642394,48605.6233963577,283.7
63,Jardim Luzitânia,635.0000000000013,635.0000000000013,2098.9993800421857,1270.8611776463854,12649.821571590575,921.6140479622989,38143.89198205424,37065.20314908361,103.07
64,Moema,14874.999999999989,14874.999999999989,33385.98732780712,3989.6735882351004,41271.79185827125,15218.468708606837,104605.77872149093,106168.388723943,175.13
65,Vila Helena,11980.000000000013,11980.000000000013,26860.004314859492,9629.626899278828,17555.722030927653,15422.916260221607,68331.16389711492,68562.11046521488,104.82
66,Bandeirantes,4813.0000000000055,4813.0000000000055,10923.000591372636,3580.5474231826147,22527.35233511956,5858.310737203057,59938.22902696555,60911.87466368645,133.42
67,Vila Nova Conceição,4444.9999999999945,4444.9999999999945,10573.997950041825,1151.177434041303,8764.897354555278,4642.428860222645,32704.718824019612,32633.250708882664,112.48
68,Chácara Itaim,12783.00000000003,12783.00000000003,27460.006315665203,6212.574017878067,73565.53744555415,11339.081461771813,171850.85476046725,171155.57491878633,204.01
69,Vila Olímpia,4948,4948,10021.002061054964,2980.9220696721345,23462.649918484887,4451.0568042799905,60725.74184337279,60724.555870677825,89.63
70,Hélio Pelegrino,5368.999999999996,5368.999999999996,11703.000858148334,10183.85821153345,20323.97815217431,6417.755916349251,54595.73816581138,55146.431783735665,103.38
71,Brooklin,11744.999999999995,11744.999999999995,28442.99594774994,3257.2276119451744,20615.47567264783,12438.796216036037,66695.67299847561,66382.41476983218,234.25
72,Vila Cordeiro,3919.0000000000014,3919.0000000000014,10091.997595285718,9615.226511112822,24449.57860960674,3855.887954084445,60937.01387368466,61039.91836720324,176.69
73,Berrini,3767.999999999999,3767.999999999999,8757.998885794874,919.5136040623876,97732.58740415236,2820.1668670438426,181294.8448008051,181206.42127086502,197.39
74,Campinas,6130.999999999995,6130.999999999995,12765.000063232812,3249.8130708156177,36233.441441772884,5493.541940499029,76617.19509618978,76247.2037468883,49.08
75,Pamplona,6835.999999999995,6835.999999999995,14277.00162993033,1979.0863783557409,12564.188494707818,7612.03967734076,42750.295071565146,42544.78942800895,51.34
76,Jardins,4290.9999999999945,4290.9999999999945,10907.997288915241,1217.8406862595962,23678.630551972674,5685.251226479768,50711.40724242791,50644.04194660165,237.7
77,Clínicas,10526.000000000015,10526.000000000015,21005.997850578937,6901.299082450118,38950.236221612446,7639.870225952111,95985.66862070376,95297.41668168013,128.72
78,Oscar Freire,9507.999999999993,9507.999999999993,20775.99702245952,456.62369236726624,24932.033180928855,7501.4719394641,58219.55726740432,58334.116939647945,100.01
79,Trianon,5109.9999999999945,5109.9999999999945,10689.999345714463,5602.310203452136,46194.10076768983,4586.923200549098,125391.28346531362,125692.00262021576,59.81
80,Jardim Paulistano,9192.999999999984,9192.999999999984,19691.003868990934,3522.099624826863,27552.617368286898,6523.9707101884305,80847.93954765686,81175.10264393402,98.98
81,Jardim Europa,4838.999999999993,4838.999999999993,12650.004106529834,697.1272668807269,41640.85315054142,6976.034446170821,87420.92409450353,87755.52026325157,308.02
82,Pinheiros,4937.000000000001,4937.000000000001,11261.998490300522,12715.096486143322,75073.81991800875,3252.404169725115,163842.16346493663,164357.02329119778,202.58
83,Vila Madalena,9703,9703,22275.002648565438,5505.94105572697,27800.52610910101,8226.637773165656,90155.96257868699,90206.61190688715,219.31
84,PUC,7093.999999999981,7093.999999999981,16556.998749690243,9526.912531652466,12763.011542125529,6905.333589381243,54588.35515031925,54705.38122422695,73.32
85,Cardoso de Almeida,1837.0000000000018,1837.0000000000018,5033.00047184374,2171.259844980085,3259.1454934310477,2500.295753684812,20366.837952624646,20349.70942042618,63.39
86,Zequinha de Abreu,1563.9999999999982,1563.9999999999982,3729.000414073618,529.2704000649934,3903.0201344659918,1240.5544220613174,10328.011543237157,10246.127831367565,49.61
87,Sumaré,6892.9999999999545,6892.9999999999545,16353.9974607735,2773.9766327818775,10844.02310403808,6241.022010601466,44504.128315823575,44601.097076330516,139.16
88,Perdizes,18964.999999999978,18964.999999999978,45356.005443789036,5280.207359130842,24112.8867070184,15820.130685263159,103953.43659049847,104612.01941015088,168.45
89,Vila Anglo Brasileira,5505.000000000001,5505.000000000001,13992.998610738096,659.8895137804409,5442.40183760311,5443.376477891472,20619.17317051529,20845.723636170256,79.12
90,Pompéia,5667,5667,13232.002021212233,2745.425284853548,9741.088010871143,5542.547480867166,45062.95843850526,45059.192696917955,60
91,Santa Marina,677.0000000000007,677.0000000000007,2350.0000061615606,18915.12476582533,24396.12769606231,351.4918981905815,61474.679978647604,62315.23491460334,295.36
92,Barra Funda,107.00000000000001,107.00000000000001,324.00006542307784,1078.3795973151791,12924.790105043741,76.62946596804377,31516.811629678097,30812.872179046317,118.21
93,Francisco Matarazzo,3843.9999999999936,3843.9999999999936,9031.998002610355,56837.98245272567,30494.76092205369,2945.746304017852,119917.0148155415,118684.74710412766,105.13
94,Água Branca,1660.0000000000007,1660.0000000000007,3993.0010510130487,4180.371007676953,19561.279613564835,1300.0738970561629,53822.761827858645,53672.99161205458,71.11
95,Vila Beatriz,6941.000000000008,6941.000000000008,17656.997384011152,3871.193154469844,9648.569588182385,7405.912202055311,42510.09613317484,42411.31480431859,183.66
96,Alto de Pinheiros,2369.999999999997,2369.999999999997,7210.997435105571,3765.2308439049707,11978.736774278914,3355.125493194623,33927.257123895346,33760.832349060256,253.17
97,Boaçava,6266.000000000008,6266.000000000008,16610.001148224314,1638.3902439787998,13938.825998479238,7687.534867815926,43776.22089168932,43380.34465376752,314.44
98,Vila Anastácio,910.0000000000007,910.0000000000007,2451.9996625185177,839.2333924523454,8500.445076848031,567.9379058502063,15802.312690513787,15872.45186714944,164.66
99,Lapa de Baixo,3022.999999999996,3174.2307692307654,8119.998995533063,1790.033159595133,22936.223262890595,2428.852521869504,43635.6758591628,43479.47551733737,242.69
100,Lapa,7393.999999999999,7393.999999999999,19354.003478877657,17372.992660171105,40417.124602495125,5697.660752676937,149671.00514203307,149661.13104667183,225.22
101,Vila Ipojuca,8354.000000000007,8354.000000000007,21857.99902656253,3688.3821932268306,10990.834399983985,6745.692522508526,47542.95274989314,46914.601098836254,168.47
102,Alto da Lapa,4763.000000000001,4804.941176470589,12643.00291627842,3136.6240394952088,8176.123631749208,6114.684221328375,31747.122951304773,32175.12397898123,159.95
103,Gavião Peixoto,888.9999999999998,888.9999999999998,2621.999746226602,1713.338137239314,2921.9536841245917,874.5026733707623,11489.364780151313,11592.668822119473,68.96
104,Bela Aliança,2764.0000000000064,2764.0000000000064,7064.000997844959,3221.0246023096747,3616.9010366345974,3776.64879714432,17968.887598930138,17846.254448044194,71.35
105,Vila Hamburguesa,5319.000000000002,5319.000000000002,14439.002568836073,6369.178775954839,16512.709472485076,6959.446050803326,47704.53500120471,48599.072819593435,149.18
106,CEASA,1103,1103,3921.0006264222716,54.25797775752535,20953.700020454162,318.9306638848302,30808.810139172296,31592.170239359886,197.78
107,Vila Leopoldina,5815.999999999999,5815.999999999999,15212.995782364498,9141.358381394584,12845.297849807423,6395.497380805945,50269.45532751729,50327.64275544549,91.65
108,Emissário,1117,1144.3636363636365,3450.999538899996,392.9765591555385,15544.419320408819,674.2092957067291,25829.60854076856,26139.651117544494,190.52
109,Vila Zatt,39388.000000000044,39388.000000000044,120118.0268848807,23983.22861306498,34385.11243281499,25735.615713653577,180626.04074578034,182059.8217815122,1220.22
110,Pirituba,18163.99999999999,18163.99999999999,50451.00197506108,10862.631942195032,17120.610989427587,11394.514894441187,90591.78004799715,91544.56453549373,488.92
111,São Domingos,17780.999999999996,17780.999999999996,50922.99884722865,8321.445836514331,17726.867787885625,12679.543378067543,83424.50650276215,84136.1378508399,581.76
112,Jardim Mutinga,11057.999999999993,11057.999999999993,35151.99781334352,5570.168081058219,13884.225883806475,6007.6524193541,58622.32181568687,57527.165784044984,411.97
113,Vila Jaguara,8078.000000000002,8078.000000000002,24154.00312712873,7036.202550737735,18371.816754632328,7529.038023400455,57544.361262130245,57574.8641134019,454.34
114,Parque do Jaraguá,0,0,0,0,210.67466585714286,0,238.7222365598744,238.7222365598744,489.12
115,Nova Jaraguá,15147.000000000005,15147.000000000005,49094.01203233629,13205.339681730475,12784.818489872509,7318.895343936633,69991.68098426252,69929.50956804043,777.78
116,Parada de Taipas,49540.99999999999,49989.97045890643,157907.01543658596,42259.10132765029,32183.3820132262,26620.96971858105,240275.482080875,239599.25623496366,1553.24
117,Parque Morro Doce,21234.99999999998,21513.66666666665,64094.984570015746,12209.23025516704,16538.322885817506,11299.076075973617,59857.67247139885,60160.53257559541,1527.16
118,Anhanguera,5391.999999999998,5391.999999999998,16752.002489584764,3386.812343731825,4006.7385054693214,4078.3616507988736,21675.91409277727,22055.29173662306,1812.79
119,Perus,26735.000000000004,26735.000000000004,87245.99205993752,24446.18468578558,13968.77776993503,13251.667840119782,110913.23755508535,111878.99816976972,2369.13
120,Vista Alegre,0,0,0,0,0,0,0,0,742.47
121,Jardim Damasceno,27338.000000000004,27338.000000000004,90272.98410374188,14284.897495596037,15690.544230970701,12057.79237164966,94656.76146621643,94614.92796473067,573.73
122,Vila Souza,15428,15428,49952.99132194722,8099.698271071752,9609.519309277466,5884.779058498611,72393.53345176214,72941.03525574134,220.86
123,Vila Terezinha,22608.000000000025,23423.08730158733,73066.00769549992,12034.712681635452,9607.899951627682,7814.412684727734,84917.5042438368,84003.53041729987,250.78
124,Brasilândia,21393.000000000004,21393.000000000004,64866.00346277708,20521.133987036323,17658.49718230602,12274.293839578793,128768.79488635542,130233.77189662794,318.28
125,Vila Morro Grande,17246,17573.380952380954,52600.010878647154,11263.747721780992,12369.774538792215,9401.323228930853,80134.91027111873,80143.66015126526,413.07
126,Itaberaba,11011.000000000004,11011.000000000004,34079.00444128029,5963.050018609518,12029.552982989988,9403.89790035982,71927.69847287862,71873.06762958926,207.42
127,Freguesia do Ó,18734.000000000004,18734.000000000004,53941.01374380962,12871.92141147833,19889.017079777823,14962.120163303453,128457.19913304882,128144.80551208628,485.85
128,Carandiru,673.9999999999992,673.9999999999992,1793.9996946044328,3437.83793030826,13692.23273811404,420.10135268088305,35899.11850641848,35757.181068690035,38.03
129,Santana,1769.000000000002,1769.000000000002,4596.000568819633,3753.9004514658272,14458.274654717989,1100.7769926642263,62381.412701094545,62718.385846287936,54.36
130,Zaki Narchi,908.9999999999993,908.9999999999993,3273.9998646409285,934.2735328374765,3858.7716057757093,258.0461174120448,9669.303800144195,9661.800525481527,71.32
131,Tietê,433,433,1227.0002454999988,4404.628039481233,10907.325006407522,238.89159283762643,32353.02743459931,32060.42668070245,78.6
132,Parque Anhembi,0,0,0,2323.729216270684,3871.103424496129,0,14652.359488966185,14873.929375792362,313.52
133,Alfredo Pujol,13684.000000000002,13684.000000000002,36441.997706333306,8596.036483826669,20365.911227481283,11400.090966471533,91463.78863528983,92116.78403116245,215.07
134,Santa Terezinha,10038.000000000002,10038.000000000002,28827.00411102084,9579.932418956996,14705.982461870122,8767.758953461758,74017.9354054615,72693.09260178404,251.08
135,Jardim São Paulo,13643.000000000018,15631.583333333356,38163.00097314173,8502.945010656284,17444.77603870817,9479.523869339395,83855.49507310477,83664.99347551746,291.23
136,Casa Verde,11225.000000000002,11225.000000000002,32569.995734280234,10751.701380877352,23470.70050855437,8835.193187348155,90249.26856612701,90271.4248121069,325.35
